a = [
01-50 "Potion of Healing"
51-60 "Spell Scroll (Cantrip)"
61-70 "Potion of Climbing"
71-90 "Spell Scroll (1st Level)"
91-94 "Spell Scroll (2nd Level)"
95-98 "Potion of Greater Healing"
99-99 "Bag of Holding"
100-100 "Driftglobe"
]

b = [
01-15 "Potion of Greater Healing"
16-22 "Potion of Fire Breath"
23-29 "Potion of Resistance"
30-34 "Ammunition, +1"
35-39 "Potion of Animal Friendship"
40-44 "Potion of Hill Giant Strength"
45-49 "Potion of Growth"
50-54 "Potion of Water Breathing"
55-59 "Spell Scroll (2nd Level)"
60-64 "Spell Scroll (3rd Level)"
65-67 "Bag of Holding"
68-70 "Keoghtom's Ointment"
71-73 "Oil of Slipperiness"
74-75 "Dust of Disappearance"
76-77 "Dust of Dryness"
78-79 "Dust of Sneezing and Choking"
80-81 "Elemental Gem"
82-83 "Philter of Love"
84-84 "Alchemy Jug"
85-85 "Cap of Water Breathing"
86-86 "Cloak of the Manta Ray"
87-87 "Driftglobe"
88-88 "Goggles of Night"
89-89 "Helm of Comprehending Languages"
90-90 "Immovable Rod"
91-91 "Lantern of Revealing"
92-92 "Mariner's Armor"
93-93 "Mithral Armor"
94-94 "Potion of Poison"
95-95 "Ring of Swimming"
96-96 "Robe of Useful Items"
97-97 "Rope of Climbing"
98-98 "Saddle of the Cavalier"
99-99 "Wand of Magic Detection"
100-100 "Wand of Secrets"
]

c = [
01-15 "Potion of Superior Healing"
16-22 "Spell Scroll (4th Level)"
23-27 "Ammunition, +2"
28-32 "Potion of Clairvoyance"
33-37 "Potion of Diminution"
38-42 "Potion of Gaseous Form"
43-47 "Potion of Frost Giant Strength"
48-52 "Potion of Stone Giant Strength"
53-57 "Potion of Heroism"
58-62 "Potion of Invulnerability"
63-67 "Potion of Mind Reading"
68-72 "Spell Scroll (5th Level)"
73-75 "Elixir of Health"
76-78 "Oil of Etherealness"
79-81 "Potion of Fire Giant Strength"
82-84 "Quaal's Feather Token"
85-87 "Scroll of Protection"
88-89 "Bag of Beans"
90-91 "Bead of Force"
92-92 "Chime of Opening"
93-93 "Decanter of Endless Water"
94-94 "Eyes of Minute Seeing"
95-95 "Folding Boat"
96-96 "Heward's Handy Haversack"
97-97 "Horseshoes of Speed"
98-98 "Necklace of Fireballs"
99-99 "Periapt of Health"
100-100 "Sending Stones"
]

d = [
01-20 "Potion of Supreme Healing"
21-30 "Potion of Invisibility"
31-40 "Potion of Speed"
41-50 "Spell Scroll (6th Level)"
51-57 "Spell Scroll (7th Level)"
58-62 "Ammunition, +3"
63-67 "Oil of Sharpness"
68-72 "Potion of Flying"
73-77 "Potion of Cloud Giant Strength"
78-82 "Potion of Longevity"
83-87 "Potion of Vitality"
88-92 "Spell Scroll (8th Level)"
93-95 "Horseshoes of A Zephyr"
96-98 "Nolzur's Marvelous Pigments"
99-99 "Bag of Devouring"
100-100 "Portable Hole"
]

e = [
01-30 "Spell Scroll (8th Level)"
31-55 "Potion of Storm Giant Strength"
56-70 "Potion of Supreme Healing"
71-85 "Spell Scroll (9th Level)"
86-93 "Universal Solvent"
94-98 "Arrow of Slaying"
99-100 "Sovereign Glue"
]

f = [
01-15 "Weapon, +1"
16-18 "Shield, +1"
19-21 "Sentinel Shield"
22-23 "Amulet of Proof against Detection and Location"
24-25 "Boots of Elvenkind"
26-27 "Boots of Striding and Springing"
28-29 "Bracers of Archery"
30-31 "Brooch of Shielding"
32-33 "Broom of Flying"
34-35 "Cloak of Elvenkind"
36-37 "Cloak of Protection"
38-39 "Gauntlets of Ogre Power"
40-41 "Hat of Disguise"
42-43 "Javelin of Lightning"
44-45 "Pearl of Power"
46-47 "Rod of the Pact Keeper, + 1"
48-49 "Slippers of Spider Climbing"
50-51 "Staff of the Adder"
52-53 "Staff of the Python"
54-55 "Sword of Vengeance"
56-57 "Trident of Fish Command"
58-59 "Wand of Magic Missiles"
60-61 "Wand of the War Mage, + 1"
62-63 "Wand of Web"
64-65 "Weapon of Warning"
66-66 "Adamantine Armor (Chain Mail)", Armor (medium or heavy, but not hide), uncommon
This suit of armor is reinforced with adamantine, one
of the hardest substances in existence. While you're
wearing it, any critical hit against you becomes a
normal hit.
67-67 "Adamantine Armor (Chain Shirt)"
68-68 "Adamantine Armor (Scale Mail)"
69-69 "Bag of Tricks (Gray)"
70-70 "Bag of Tricks (Rust)"
71-71 "Bag of Tricks (Tan)"
72-72 "Boots of the Winterlands"
73-73 "Circlet of Blasting"
74-74 "Deck of Illusions"
75-75 "Eversmoking Bottle"
76-76 "Eyes of Charming"
77-77 "Eyes of the Eagle"
78-78 "Figurine of Wondrous Power (Silver Raven)"
79-79 "Gem of Brightness"
80-80 "Gloves of Missile Snaring"
81-81 "Gloves of Swimming and Climbing"
82-82 "Gloves of Thievery"
83-83 "Headband of Intellect"
84-84 "Helm of Telepathy"
85-85 "Instrument of the Bards (Doss Lute)"
86-86 "Instrument of the Bards (Fochlucan Bandore)"
87-87 "Instrument of the Bards (Mac-Fuimidh Cittern)"
88-88 "Medallion of Thoughts"
89-89 "Necklace of Adaptation"
90-90 "Periapt of Wound Closure"
91-91 "Pipes of Haunting"
92-92 "Pipes of the Sewers"
93-93 "Ring of Jumping"
94-94 "Ring of Mind Shielding"
95-95 "Ring of Warmth"
96-96 "Ring of Water Walking"
97-97 "Quiver of Ehlonna"
98-98 "Stone of Good Luck"
99-99 "Wind Fan"
100-100 "Winged Boots"
]

g = [
01-11 "Weapon, +2 "
12-14 "Figurine of Wondrous Power (Roll D8): 1 Bronze Griffon; 2 Ebony Fly; 3 Golden Lions; 4 Ivory Goats; 5 Marble Elephant; 6-7 Onyx Dog; 8 Serpentine Owl"
15-15 "Adamantine Armor (Breastplate) "
16-16 "Adamantine Armor (Splint) "
17-17 "Amulet of Health "
18-18 "Armor of Vulnerability "
19-19 "Arrow-Catching Shield "
20-20 "Belt of Dwarvenkind "
21-21 "Belt of Hill Giant Strength "
22-22 "Berserker Axe "
23-23 "Boots of Levitation "
24-24 "Boots of Speed "
25-25 "Bowl of Commanding Water Elementals "
